origin,variety,process,acidity,body,sweetness,cup_total,source
Costa Rica,Caturra,Washed / Wet,0.691,0.727,1.0,83.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),Hawaiian Kona,Natural / Dry,0.691,0.802,0.923,83.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Costa Rica,Catuai,Washed / Wet,0.643,0.775,1.0,83.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Peru,정보없음,Washed / Wet,0.737,0.802,1.0,83.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Haiti,Typica,Washed / Wet,0.643,0.775,1.0,83.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Natural / Dry,0.691,0.802,1.0,83.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.691,0.727,1.0,83.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),Hawaiian Kona,Natural / Dry,0.737,0.727,1.0,83.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Burundi,Bourbon,Washed / Wet,0.643,0.676,1.0,83.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.666,0.727,1.0,83.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),정보없음,정보없음,0.714,0.727,0.923,83.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),정보없음,정보없음,0.643,0.775,1.0,83.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.737,0.625,1.0,83.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Costa Rica,Catuai,Pulped natural / honey,0.643,0.727,1.0,83.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Costa Rica,정보없음,Washed / Wet,0.691,0.676,1.0,83.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Pacas,Washed / Wet,0.737,0.727,1.0,83.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Uganda,SL14,Washed / Wet,0.62,0.727,1.0,83.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,정보없음,정보없음,0.643,0.727,1.0,83.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Natural / Dry,0.549,0.751,1.0,83.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Natural / Dry,0.666,0.7,1.0,83.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Bourbon,Washed / Wet,0.643,0.727,1.0,83.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Washed / Wet,0.666,0.676,1.0,83.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Natural / Dry,0.666,0.7,1.0,83.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Caturra,Washed / Wet,0.691,0.727,1.0,83.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.594,0.727,1.0,83.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Bourbon,Washed / Wet,0.643,0.7,1.0,83.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),Hawaiian Kona,Natural / Dry,0.786,0.85,0.923,83.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Mundo Novo,Washed / Wet,0.666,0.676,1.0,83.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Caturra,Washed / Wet,0.763,0.625,1.0,83.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.737,0.652,1.0,83.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Yellow Bourbon,Semi-washed / Semi-pulped,0.666,0.7,1.0,83.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.62,0.775,1.0,83.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.643,0.7,1.0,83.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,정보없음,정보없음,0.62,0.775,1.0,83.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,정보없음,정보없음,0.571,0.727,1.0,83.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,정보없음,정보없음,0.62,0.652,1.0,83.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Bourbon,Natural / Dry,0.666,0.727,1.0,83.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.691,0.751,1.0,83.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
"Tanzania, United Republic Of",Bourbon,Washed / Wet,0.691,0.727,1.0,83.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Peru,정보없음,정보없음,0.666,0.727,1.0,83.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Vietnam,Catimor,Natural / Dry,0.594,0.7,1.0,83.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Caturra,Washed / Wet,0.714,0.7,1.0,83.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Honduras,Catuai,Washed / Wet,0.691,0.676,1.0,83.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
China,Catimor,Washed / Wet,0.691,0.727,1.0,83.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
China,Catimor,Washed / Wet,0.691,0.652,1.0,83.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
El Salvador,Bourbon,Washed / Wet,0.691,0.826,1.0,83.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.737,0.7,1.0,83.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.714,0.676,1.0,83.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Kenya,SL28,Washed / Wet,0.714,0.775,0.923,83.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Thailand,정보없음,Washed / Wet,0.714,0.652,1.0,83.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
"Tanzania, United Republic Of",Other,Washed / Wet,0.666,0.652,1.0,83.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.691,0.676,1.0,83.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Uganda,SL14,Washed / Wet,0.62,0.625,1.0,83.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,정보없음,Washed / Wet,0.666,0.7,1.0,83.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Honduras,Catuai,Natural / Dry,0.691,0.727,1.0,83.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Honduras,Caturra,Natural / Dry,0.691,0.676,1.0,83.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Catuai,Washed / Wet,0.834,0.625,1.0,83.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),Hawaiian Kona,Natural / Dry,0.62,0.802,1.0,83.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
"Tanzania, United Republic Of",Bourbon,Washed / Wet,0.714,0.7,1.0,83.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.691,0.676,1.0,83.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.666,0.676,1.0,83.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.643,0.652,1.0,83.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Pacamara,Washed / Wet,0.691,0.676,1.0,83.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.643,0.7,1.0,83.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.714,0.7,1.0,83.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.666,0.727,1.0,83.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.666,0.727,1.0,83.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Mundo Novo,Natural / Dry,0.643,0.7,1.0,83.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Mundo Novo,Natural / Dry,0.666,0.652,1.0,83.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.643,0.802,0.923,83.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Mundo Novo,Semi-washed / Semi-pulped,0.643,0.751,1.0,83.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,정보없음,정보없음,0.643,0.727,1.0,83.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
El Salvador,정보없음,정보없음,0.809,0.577,1.0,83.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Ethiopia,정보없음,정보없음,0.809,0.775,0.923,83.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.691,0.751,1.0,83.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.62,0.826,1.0,83.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Yellow Bourbon,Pulped natural / honey,0.643,0.727,1.0,83.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Yellow Bourbon,Natural / Dry,0.594,0.751,1.0,83.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Natural / Dry,0.737,0.727,1.0,83.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Mundo Novo,Natural / Dry,0.643,0.751,1.0,83.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Bourbon,Washed / Wet,0.62,0.652,1.0,83.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Costa Rica,Catuai,Washed / Wet,0.691,0.7,1.0,83.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),Hawaiian Kona,Natural / Dry,0.594,0.775,1.0,83.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Other,0.643,0.676,1.0,83.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),Hawaiian Kona,Natural / Dry,0.549,0.751,1.0,83.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Other,Washed / Wet,0.714,0.676,1.0,83.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),Hawaiian Kona,Natural / Dry,0.691,0.802,1.0,83.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),Hawaiian Kona,Washed / Wet,0.763,0.727,1.0,83.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,정보없음,0.666,0.601,1.0,83.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,정보없음,정보없음,0.571,0.652,1.0,83.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Indonesia,정보없음,정보없음,0.666,0.727,1.0,83.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,정보없음,정보없음,0.571,0.775,1.0,83.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Bourbon,Natural / Dry,0.714,0.727,1.0,83.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Bourbon,Natural / Dry,0.691,0.7,1.0,83.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Bourbon,Natural / Dry,0.691,0.7,1.0,83.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Uganda,Bourbon,Washed / Wet,0.62,0.775,1.0,83.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Uganda,Bourbon,Natural / Dry,0.666,0.652,1.0,83.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,정보없음,정보없음,0.691,0.676,1.0,83.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Vietnam,Caturra,Other,0.666,0.652,1.0,83.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Catuai,Washed / Wet,0.763,0.652,1.0,83.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Catuai,Washed / Wet,0.714,0.676,1.0,83.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.691,0.751,1.0,83.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Catuai,Natural / Dry,0.643,0.652,1.0,83.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Washed / Wet,0.666,0.625,1.0,83.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Uganda,SL14,Washed / Wet,0.643,0.7,1.0,83.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Puerto Rico),Other,Washed / Wet,0.737,0.751,0.923,83.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.737,0.676,1.0,83.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Costa Rica,Catuai,Washed / Wet,0.666,0.676,1.0,83.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Yellow Bourbon,Semi-washed / Semi-pulped,0.691,0.652,1.0,83.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.643,0.7,1.0,83.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.594,0.676,1.0,83.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Natural / Dry,0.62,0.751,1.0,83.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Natural / Dry,0.691,0.7,1.0,83.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.666,0.751,1.0,83.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.643,0.727,1.0,83.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Semi-washed / Semi-pulped,0.666,0.7,1.0,83.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Bourbon,Washed / Wet,0.643,0.7,1.0,83.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Arusha,Natural / Dry,0.643,0.751,1.0,83.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.691,0.775,1.0,83.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.666,0.727,1.0,83.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.691,0.676,1.0,83.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.643,0.727,1.0,83.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Thailand,정보없음,정보없음,0.643,0.751,1.0,83.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,정보없음,정보없음,0.594,0.7,1.0,83.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),정보없음,정보없음,0.737,0.802,0.923,83.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),정보없음,정보없음,0.666,0.7,1.0,83.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,정보없음,정보없음,0.691,0.7,1.0,83.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Nicaragua,Caturra,정보없음,0.763,0.802,0.923,83.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Thailand,정보없음,정보없음,0.714,0.877,1.0,83.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Bourbon,Natural / Dry,0.666,0.7,1.0,82.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
El Salvador,Bourbon,Washed / Wet,0.666,0.802,0.923,82.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.594,0.727,1.0,82.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Caturra,Natural / Dry,0.691,0.727,1.0,82.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Ethiopia,Ethiopian Heirlooms,Washed / Wet,0.643,0.7,1.0,82.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Natural / Dry,0.594,0.676,1.0,82.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Philippines,Other,Washed / Wet,0.666,0.676,1.0,82.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Philippines,Other,Washed / Wet,0.62,0.625,1.0,82.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Natural / Dry,0.666,0.676,1.0,82.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Bourbon,Washed / Wet,0.62,0.751,1.0,82.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Moka Peaberry,Semi-washed / Semi-pulped,0.737,0.751,1.0,82.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Uganda,SL14,Washed / Wet,0.666,0.625,1.0,82.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Uganda,SL14,Washed / Wet,0.643,0.676,1.0,82.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.666,0.727,1.0,82.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Caturra,Natural / Dry,0.643,0.625,1.0,82.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,정보없음,Washed / Wet,0.666,0.7,1.0,82.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.594,0.7,1.0,82.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Natural / Dry,0.643,0.751,1.0,82.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.763,0.676,1.0,82.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Other,Washed / Wet,0.62,0.676,1.0,82.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Natural / Dry,0.571,0.7,1.0,82.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Vietnam,Other,Natural / Dry,0.666,0.85,1.0,82.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.549,0.727,1.0,82.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),Hawaiian Kona,Washed / Wet,0.62,0.727,1.0,82.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,정보없음,정보없음,0.714,0.55,1.0,82.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Thailand,정보없음,정보없음,0.549,0.676,1.0,82.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Kenya,SL28,Washed / Wet,0.666,0.676,1.0,82.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.691,0.7,1.0,82.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Yellow Bourbon,Pulped natural / honey,0.643,0.676,1.0,82.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
El Salvador,Pacas,Washed / Wet,0.737,0.625,1.0,82.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Rwanda,Bourbon,Washed / Wet,0.737,0.751,0.923,82.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Vietnam,Other,Other,0.62,0.751,1.0,82.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.691,0.727,1.0,82.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Catuai,Natural / Dry,0.691,0.652,1.0,82.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Other,Washed / Wet,0.666,0.676,1.0,82.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States,Other,Other,0.643,0.751,1.0,82.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.691,0.652,1.0,82.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Typica,Natural / Dry,0.643,0.7,1.0,82.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.62,0.676,1.0,82.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
"Tanzania, United Republic Of",Arusha,Washed / Wet,0.571,0.7,1.0,82.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Caturra,Washed / Wet,0.666,0.676,1.0,82.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Bourbon,Washed / Wet,0.714,0.652,1.0,82.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.643,0.625,1.0,82.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.62,0.727,1.0,82.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
El Salvador,정보없음,정보없음,0.714,0.601,1.0,82.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Caturra,Washed / Wet,0.691,0.7,1.0,82.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Caturra,Washed / Wet,0.666,0.676,1.0,82.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.691,0.727,1.0,82.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.666,0.727,1.0,82.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.691,0.676,1.0,82.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Indonesia,Sulawesi,Other,0.666,0.7,1.0,82.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.666,0.625,1.0,82.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Yellow Bourbon,Natural / Dry,0.691,0.7,1.0,82.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
El Salvador,Bourbon,Washed / Wet,0.594,0.7,1.0,82.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Costa Rica,Caturra,Washed / Wet,0.691,0.652,1.0,82.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Honduras,Caturra,Natural / Dry,0.666,0.676,1.0,82.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Yellow Bourbon,Pulped natural / honey,0.643,0.7,1.0,82.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
China,Catimor,Natural / Dry,0.594,0.727,1.0,82.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
China,Catimor,Washed / Wet,0.691,0.676,1.0,82.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.714,0.625,1.0,82.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Malawi,Gesha,Washed / Wet,0.643,0.625,1.0,82.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Pacas,Washed / Wet,0.714,0.676,1.0,82.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Typica,Washed / Wet,0.666,0.625,1.0,82.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),Hawaiian Kona,Natural / Dry,0.737,0.625,1.0,82.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),Hawaiian Kona,Natural / Dry,0.714,0.652,1.0,82.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.594,0.601,1.0,82.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.643,0.676,1.0,82.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.714,0.601,1.0,82.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Natural / Dry,0.786,0.775,1.0,82.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.691,0.676,1.0,82.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.666,0.676,1.0,82.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),Hawaiian Kona,Washed / Wet,0.737,0.727,1.0,82.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Panama,Catuai,Washed / Wet,0.666,0.676,1.0,82.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),정보없음,정보없음,0.737,0.577,1.0,82.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Bourbon,Natural / Dry,0.714,0.7,1.0,82.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Bourbon,Natural / Dry,0.691,0.676,1.0,82.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Laos,Catimor,Washed / Wet,0.62,0.652,1.0,82.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
El Salvador,Pacas,Washed / Wet,0.691,0.676,0.923,82.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,정보없음,정보없음,0.714,0.652,1.0,82.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,정보없음,Washed / Wet,0.666,0.625,1.0,82.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Yellow Bourbon,Natural / Dry,0.691,0.676,1.0,82.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Catuai,Natural / Dry,0.666,0.727,1.0,82.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
"Tanzania, United Republic Of",Other,Washed / Wet,0.643,0.676,1.0,82.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
"Tanzania, United Republic Of",Bourbon,Washed / Wet,0.666,0.625,1.0,82.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Washed / Wet,0.62,0.601,1.0,82.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
